,loss,lr,t
0,1.4998193979263306,0.0002,611.1868125
1,1.1434016227722168,0.0002,599.7799375
2,1.1314308643341064,0.0002,600.1149375
3,1.1260656118392944,0.0002,600.32
4,1.122442364692688,0.0002,601.047125
5,1.1197282075881958,0.0002,601.9920625
6,1.1176632642745972,0.0002,606.402
7,1.116136908531189,0.0002,605.156125
8,1.114745855331421,0.0002,601.03375
9,1.11366605758667,0.0002,600.7078125
10,1.1124707460403442,0.0002,602.2369375
11,1.1117066144943237,0.0002,601.798375
12,1.1107860803604126,0.0002,604.0670625
13,1.1100928783416748,0.0002,603.1664375
14,1.1094273328781128,0.0002,602.45025
15,1.1089422702789307,0.0002,600.2626875
16,1.1083353757858276,0.0002,600.4281875
17,1.107884168624878,0.0002,600.940625
18,1.1074273586273193,0.0002,600.8838125
19,1.1069551706314087,0.0002,612.65425
20,1.1065034866333008,0.0002,602.8653125
21,1.106251835823059,0.0002,602.0425
22,1.1057860851287842,0.0002,602.912625
23,1.1053588390350342,0.0002,603.347
24,1.10508394241333,0.0002,603.0155625
25,1.1046730279922485,0.0002,606.028625
26,1.1044697761535645,0.0002,605.9268125
27,1.1041791439056396,0.0002,604.90675
28,1.1038302183151245,0.0002,601.316875
29,1.1036114692687988,0.0002,601.4485
30,1.1033846139907837,0.0002,601.016125
31,1.1031569242477417,0.0002,601.647875
32,1.1028480529785156,0.0002,617.981375
33,1.1026896238327026,0.0002,608.947625
34,1.102414846420288,0.0002,609.28925
35,1.1023212671279907,0.0002,605.2219375
36,1.1020991802215576,0.0002,605.114
37,1.1019773483276367,0.0002,605.012375
38,1.1017694473266602,0.0002,614.106375
39,1.1016041040420532,0.0002,610.0333125
40,1.1013917922973633,0.0002,605.979125
41,1.1012531518936157,0.0002,605.344625
42,1.1011136770248413,0.0002,605.256375
43,1.100906252861023,0.0002,605.157625
44,1.1009457111358643,0.0002,605.395875
45,1.100669503211975,0.0002,610.123625
46,1.1005406379699707,0.0002,607.0070625
47,1.100274682044983,0.0002,607.45425
48,1.1003326177597046,0.0002,604.581
49,1.1001580953598022,0.0002,604.7784375
50,1.100126028060913,0.0002,604.3518125
