,loss,lr,t
0,1.7244513013010552,0.001,481.9893167177215
1,1.152072563156408,0.001,477.0472463564947
2,1.1360924951561224,0.001,477.6824474222958
3,1.1290467349441728,0.001,482.5495478408411
4,1.1247179708917718,0.001,477.46087725739926
5,1.1214479935799289,0.001,476.955602357164
6,1.1190285903665236,0.001,477.6414294335991
7,1.1172506362332857,0.001,476.9051869204268
8,1.1154508849649674,0.001,477.6597156031057
9,1.1143033860982983,0.001,477.1363162146881
10,1.1126522549359144,0.001,476.87027098890394
11,1.1119275192628424,0.001,477.7643999699503
12,1.1113157262525943,0.001,477.5222470564768
13,1.1102749458771282,0.001,477.78192597348243
14,1.1092021570183705,0.001,477.33170824311674
15,1.1085494999037837,0.001,477.30105687491596
16,1.10784118580759,0.001,478.49480216857046
17,1.1077852405575899,0.001,477.6579581545666
18,1.1070225931066613,0.001,477.19439298287034
19,1.1068783034102432,0.001,477.47717404644936
20,1.105896586824475,0.001,477.11705434974283
21,1.1056373871098242,0.001,477.5635551037267
22,1.1053392642474573,0.001,477.2781697055325
23,1.1052020637656124,0.001,479.532336672768
24,1.1048586067260955,0.001,479.31202923785895
25,1.1044082832647981,0.001,482.2148587061092
26,1.1043326159447788,0.001,477.68887199647725
27,1.104064106732088,0.001,477.1371896266937
28,1.1037063601695538,0.001,476.9030576283112
29,1.103736906944047,0.001,477.1635226588696
30,1.1031103989379534,0.001,477.333281096071
31,1.1032477280681168,0.001,476.87832419294864
32,1.1030308216851608,0.001,477.26829007361084
33,1.1024996959830438,0.001,477.4308120375499
34,1.102477286555356,0.001,477.37641384638846
35,1.102315118825795,0.001,476.84397929534316
36,1.1018892750081821,0.001,477.0142671838403
37,1.1016514152773993,0.001,482.7423638207838
38,1.101669877939601,0.001,476.4248211812228
39,1.1014048349802614,0.001,476.20380358211696
40,1.1011451232351808,0.001,475.15764096565545
41,1.101377750312261,0.001,474.3466183161363
42,1.1013268113162495,0.001,476.20811099838465
43,1.1012457685377364,0.001,476.8843838823959
44,1.101177313137793,0.001,479.613542964682
45,1.1010317299907517,0.001,476.2897565960884
46,1.101005576096416,0.001,476.1183918751776
47,1.100462916469127,0.001,476.5707185668871
48,1.1009223474806187,0.001,476.7361647253856
49,1.1006841408914598,0.001,478.9818038502708
50,1.1002580579407955,0.001,476.60063634440303
51,1.1006224652731902,0.001,476.7041843244806
52,1.1003213911988725,0.001,476.2168094320223
53,1.1004652827860162,0.001,476.68166943639517
54,1.1003649440433003,0.001,476.5798564767465
55,1.099812231873093,0.001,476.5644477698952
56,1.099742884888055,0.001,476.8011411326006
57,1.0996004275842444,0.001,476.76831908896565
58,1.099746942357001,0.001,476.12680119555444
59,1.0995622955784834,0.001,476.74576983973384
60,1.0993524699532584,0.001,476.34744366817176
61,1.099292990511893,0.001,476.4481165185571
62,1.0991431167264052,0.001,476.22045017778873
63,1.0991615265111825,0.001,476.73045327793807
64,1.0990628615410465,0.001,475.96075575985014
65,1.0992106297505664,0.001,476.45199436694384
66,1.0991266425524084,0.001,476.8404522323981
67,1.098774868935438,0.001,476.47729202453047
68,1.0986062134431533,0.001,476.33733837958425
69,1.0986305404572736,0.001,478.6398565284908
70,1.0986615141246212,0.001,476.05499367788434
71,1.098531968821991,0.001,472.40791159588844
72,1.0985973391912722,0.001,476.24446686170995
73,1.0985604295796878,0.001,476.7337825335562
74,1.0984180560532453,0.001,476.20479333680123
75,1.0981298989844563,0.001,476.2539811078459
76,1.098106696298782,0.001,476.1811803840101
77,1.097816401872098,0.001,476.1393956486136
